VP-Name;Auftr.-Nr.;Ihre Auftr.-Nr.;Anlagedatum;Auftr.-Status;Auftr.-Statustext;Kunden;Anschrift;Geburtsdatum;Telefonnummer;Z�hlernummer;Tarif/Produkt;VAP;VAP-Datum;RL;RL-Datum;Stornodatum;Wiederanschaltungsdatum
Herr Maher Hawi;206036;;05.04.2017;7100;Provisioniert EP;Herr Kaldon Eed;Ardeystr. 111, 58452 Witten;01.01.1990;+49 0157 81023444;212371;badenova - �kostrom24+ Top25 iPhone 7;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;206009;;05.04.2017;7100;Provisioniert EP;Herr Louai Belal;Focher Str. 4, 42719 Solingen;10.08.1981;+49 01577 1244911;4520955;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;205989;;05.04.2017;9300;Storno Abgelehnt;Frau Amal Belal;Locher Str. 9, 42719 Solingen;10.01.1987;+49 01722 643524;4290932;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;205656;;04.04.2017;9300;Storno Abgelehnt;Herr Idris Ali Hassan;Hechtweg 23, 44339 Dortmund;01.07.1966;+49 0152 31079433;587-82783-82;badenova - �kostrom24+ Top25 iPhone 7;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;205323;;05.04.2017;10400;Provisioniert EP;Herr Kaldon Eed;Ardeystr. 111, 58452 Witten;01.01.1991;+49 0157 81023445;7086647;badenova - �kostrom24+ Top25 iPhone 8;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;204990;;05.04.2017;11280;Provisioniert EP;Herr Louai Belal;Focher Str. 4, 42719 Solingen;10.08.1982;+49 01577 1244912;9125927,5;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;204657;;05.04.2017;12160;Storno Abgelehnt;Frau Amal Belal;Locher Str. 9, 42719 Solingen;10.01.1988;+49 01722 643525;11165208;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;204324;;04.04.2018;13040;Storno Abgelehnt;Herr Idris Ali Hassan;Hechtweg 23, 44339 Dortmund;01.07.1967;+49 0152 31079434;587-82783-83;badenova - �kostrom24+ Top25 iPhone 8;Nein;-;Nein;-;24.05.2017;-
Herr Maher Hawi;203991;;05.04.2017;13920;Provisioniert EP;Herr Kaldon Eed;Ardeystr. 111, 58452 Witten;01.01.1992;+49 0157 81023446;13204488,5;badenova - �kostrom24+ Top25 iPhone 9;Ja;24.05.2017;Ja;24.05.2017;-;-
Herr Maher Hawi;203658;;05.04.2017;14800;Provisioniert EP;Herr Louai Belal;Focher Str. 4, 42719 Solingen;10.08.1983;+49 01577 1244913;15243769;badenova - �kostrom24+ Top25 Samsung Galaxy S7;Ja;24.05.2017;Ja;24.05.2017;-;-
